Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,36.177502,36.282501,35.570000,35.919998,34.307800,125997600
2017-06-30,36.112499,36.240002,35.945000,36.005001,34.388985,92096400
2017-07-03,36.220001,36.325001,35.775002,35.875000,34.264820,57111200
2017-07-05,35.922501,36.197498,35.680000,36.022499,34.405693,86278400
2017-07-06,35.755001,35.875000,35.602501,35.682499,34.080963,96515200
2017-07-07,35.724998,36.187500,35.724998,36.044998,34.427189,76806800
2017-07-10,36.027500,36.487499,35.842499,36.264999,34.637314,84362400
2017-07-11,36.182499,36.462502,36.095001,36.382500,34.749542,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.799683,99538000
2017-07-13,36.375000,37.122501,36.360001,36.942501,35.284409,100797600
2017-07-14,36.992500,37.332500,36.832500,37.259998,35.587654,80528400
